year,title,difficulty
1766,Discovery of Hydrogen
1868,Discovery of Helium
1817,Discovery of Lithium
1798,Discovery of Beryllium
1787,Discovery of Boron
1772,Discovery of Carbon
1772,Discovery of Nitrogen
1771,Discovery of Oxygen
1771,Discovery of Fluorine
1898,Discovery of Neon
1758,Discovery of Sodium
1755,Discovery of Magnesium
1756,Discovery of Aluminium
1789,Discovery of Silicon
1669,Discovery of Phosphorus
1774,Discovery of Chlorine
1894,Discovery of Argon
1758,Discovery of Potassium
1755,Discovery of Calcium
1879,Discovery of Scandium
1791,Discovery of Titanium
1801,Discovery of Vanadium
1797,Discovery of Chromium
1774,Discovery of Manganese
1735,Discovery of Cobalt
1751,Discovery of Nickel
1875,Discovery of Gallium
1886,Discovery of Germanium
1817,Discovery of Selenium
1825,Discovery of Bromine
1898,Discovery of Krypton
1861,Discovery of Rubidium
1787,Discovery of Strontium
1794,Discovery of Yttrium
1789,Discovery of Zirconium
1801,Discovery of Niobium
1778,Discovery of Molybdenum
1937,Discovery of Technetium
1844,Discovery of Ruthenium
1804,Discovery of Rhodium
1802,Discovery of Palladium
1817,Discovery of Cadmium
1863,Discovery of Indium
1782,Discovery of Tellurium
1811,Discovery of Iodine
1898,Discovery of Xenon
1860,Discovery of Caesium
1772,Discovery of Barium
1838,Discovery of Lanthanum
1803,Discovery of Cerium
1885,Discovery of Praseodymium
1841,Discovery of Neodymium
1945,Discovery of Promethium
1879,Discovery of Samarium
1896,Discovery of Europium
1880,Discovery of Gadolinium
1843,Discovery of Terbium
1886,Discovery of Dysprosium
1878,Discovery of Holmium
1843,Discovery of Erbium
1879,Discovery of Thulium
1878,Discovery of Ytterbium
1906,Discovery of Lutetium
1922,Discovery of Hafnium
1802,Discovery of Tantalum
1781,Discovery of Tungsten
1925,Discovery of Rhenium
1803,Discovery of Osmium
1803,Discovery of Iridium
1861,Discovery of Thallium
1898,Discovery of Polonium
1940,Discovery of Astatine
1899,Discovery of Radon
1939,Discovery of Francium
1898,Discovery of Radium
1902,Discovery of Actinium
1829,Discovery of Thorium
1913,Discovery of Protactinium
1789,Discovery of Uranium
1940,Discovery of Neptunium
1941,Discovery of Plutonium
1944,Discovery of Americium
1944,Discovery of Curium
1949,Discovery of Berkelium
1950,Discovery of Californium
1952,Discovery of Einsteinium
1953,Discovery of Fermium
1955,Discovery of Mendelevium
1966,Discovery of Nobelium
1961,Discovery of Lawrencium
1969,Discovery of Rutherfordium
1970,Discovery of Dubnium
1974,Discovery of Seaborgium
1981,Discovery of Bohrium
1984,Discovery of Hassium
1982,Discovery of Meitnerium
1994,Discovery of Darmstadtium
1994,Discovery of Roentgenium
1996,Discovery of Copernicium
2003,Discovery of Nihonium
1998,Discovery of Flerovium
2003,Discovery of Moscovium
2000,Discovery of Livermorium
2009,Discovery of Tennessine
2002,Discovery of Oganesson